Sample,rssi,time
0,-53.2,62.76
1,-53.4,62.82
2,-53.92,57.74
3,-53.74,52.34
4,-54,60.1
5,-53.32,66.1
6,-53.36,68.94
7,-53.28,63.24
8,-52.5,58.96
9,-53.1,63.14
10,-53.08,59.44
11,-53.18,61.22
12,-53.48,61.8
13,-52.56,57.74
14,-53.84,58.24
AVG,-53.33,60.97
STD,0.42,3.8
SE,0.11,0.98
,,
,,
,,
Sample,rssi,time
0,-58.94,471.84
1,-58.2,249.02
2,-58.74,334.28
3,-58.58,293.9
4,-59.12,249.98
5,-59.34,280.7
6,-58.88,247.72
7,-59.18,226
8,-58.94,247.16
9,-59,221.9
10,-58.94,216.62
11,-58.64,220.24
12,-59.3,217.62
13,-58.86,241.42
14,-59.06,204.08
AVG,-58.91,261.5
STD,0.28,65.22
SE,0.07,16.84
