Sample,rssi,time
0,-57.78,179.72
1,-57.22,154.80
2,-57.14,145.78
3,-57.40,154.98
4,-57.54,152.10
5,-57.84,142.18
6,-57.86,169.92
7,-57.06,170.84
8,-57.80,160.52
9,-57.08,148.58
10,-57.20,136.32
11,-58.12,160.26
12,-57.48,146.34
13,-57.64,163.70
14,-57.72,160.18
AVG,-57.53,156.41
STD,0.32,11.37
SE,0.08,2.93



Sample,rssi,time
0,-59.02,298.92
1,-58.88,258.74
2,-58.42,235.70
3,-58.40,263.34
4,-58.56,226.38
5,-58.08,235.32
6,-58.38,261.28
7,-58.48,233.96
8,-58.44,226.36
9,-57.96,254.96
10,-58.24,238.04
11,-57.98,203.14
12,-59.08,273.32
13,-58.56,246.54
14,-58.88,244.74
AVG,-58.49,246.72
STD,0.34,22.14
SE,0.09,5.72


